group_id,label,operator
1,Prefix FFN: GELU product,"Prefix FFN: GELU product | triton_poi_fused_gelu_mul_split_0 | grid=(29376, 1, 1) block=(128, 1, 1)"
2,Prefix FFN: down + residual,"Prefix FFN: down + residual | nvjet_sm110_tst_256x184_64x3_2x1_v_badd_NNT | grid=(40, 1, 1) block=(256, 1, 1)"
3,Prefix FFN: gate/up projection,"Prefix FFN: gate/up projection | nvjet_sm110_tst_256x232_64x3_1x2_h_bz_NNT | grid=(512, 1, 1) block=(256, 1, 1)"
4,Prefix: Attention P × V,"Prefix: Attention P × V | _matmul_small | grid=(1840, 1, 1) block=(128, 1, 1)"
5,Prefix: Attention QKᵀ + scale,"Prefix: Attention QKᵀ + scale | _matmul_abt_scale | grid=(6670, 1, 1) block=(128, 1, 1)"
6,Prefix: Attention output + residual,"Prefix: Attention output + residual | _matmul_small_res | grid=(480, 1, 1) block=(128, 1, 1)"
7,Prefix: Prefix RoPE table,"Prefix: Prefix RoPE table | _build_gemma_rope_from_positions | grid=(58, 1, 1) block=(128, 1, 1)"
8,Prefix: Prefix masked softmax,"Prefix: Prefix masked softmax | _softmax_mask_vector | grid=(1836, 1, 1) block=(128, 1, 1)"
9,Prefix: QKV projection + Gemma RoPE,"Prefix: QKV projection + Gemma RoPE | _matmul_gemma_rope_qkv | grid=(29, 10, 1) block=(128, 1, 1)"
10,Prefix: RMSNorm (pre-FFN),"Prefix: RMSNorm (pre-FFN) | _rms_norm_kernel | grid=(918, 1, 1) block=(128, 1, 1)"
11,Prefix: RMSNorm (pre-attention),"Prefix: RMSNorm (pre-attention) | _rms_norm_kernel | grid=(918, 1, 1) block=(128, 1, 1)"
12,Prefix: concatenate image/text embeddings,"Prefix: concatenate image/text embeddings | void at::<unnamed>::CatArrayBatchedCopy_vectorized<at::<unnamed>::OpaqueType<2>, unsigned int, 2, 128, 1, 16, 8>(char *, at::<unnamed>::CatArrInputTensorMetadata<T1, T2, T4, T5>, at::<unnamed>::TensorSizeStride<T2, 4>, int, T2) | grid=(512, 4, 1) block=(128, 1, 1)"
13,Prefix: mask conversion/copy,"Prefix: mask conversion/copy | void at::unrolled_elementwise_kernel<at::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 3)]::operator ()() const::[lambda(int) (instance 1)], std::array<char *, 2>, 4, TrivialOffsetCalculator<1, unsigned int>, TrivialOffsetCalculator<1, unsigned int>, memory::LoadWithCast<1>, memory::StoreWithCast<1>>(int, T1, T2, T4, T5, T6, T7) | grid=(2, 1, 1) block=(128, 1, 1)"
